Comment,Designator,Footprint,LCSC
22 pF,"C101,C102",C0402,C1555
100 nF,"C103,C209,C210,C211,C212,C213,C214,C215,C217,C301,C302,C405",C0402,C1525
10 uF,"C201,C203,C206",C0805,C15850
22 uF,"C202,C205",C0805,C45783
33μF 25V,C204,"SMD Polarized Capacitor (5.0 mm diameter,5.8 mm height)",C178636
4.7 uF,C207,C0603,C19666
1 uF,"C208,C216,C401,C402,C403,C404",C0402,C52923
LTST-C190KGKT,"D101,D202,D301,D302",0603 LED,C72043
SS54,"D201,D203",SMA,C22452
GT-USB-7010ASV,J101,GT-USB-7010ASV,C2988369
5301-8P8C,J301,5301-8P8C,C3097717
2N7002T-7-F,"Q101,Q102,Q301,Q302,Q303,Q401,Q402",SOT-523,C2931638
27.4 R,"R101,R102",R0402,C2076786
5.1 kR,"R103,R104",R0402,C25905
10 kR,"R105,R106,R109,R201,R401,R402,R403,R404",R0402,C25744
1 kR,R107,R0402,C11702
120 R,"R108,R304",R0402,C25079
10 kR,"R110,R307,R309,R310",R0402,C25744
0 R,R202,R0805,C17477
1.2 kR,"R301,R302,R305,R308",R0402,C25862
2.2 kR,R306,R0402,C25879
910 kR,R405,R0402,C321649
PTS525S,"S101,S102",PTS525S,C318884
RP2040,U101,QFN-56 (EP3.2x3.2mm),C2040
W25Q128JVSIQ,U102,SOIC-8,C97521
AMS1117-3.3,U201,SOT-223,C6186
K7805-500,U202,K7805,C713220
B0512S-1WR2,U203,B_S-1WR2,C909793
SP485EEN-L/TR,"U301,U302",SOIC-8,C6855
X322512MSB4SI,Y101,4-SMD 3.2×2.5mm,C9002
