Designator,Mid X,Mid y,Rotation,Layer
C101,3.4000,-3.7000,90.000,top
C102,8.9000,-3.7000,270.000,top
C201,-19.2000,7.2500,270.000,top
C202,-19.2000,11.0000,90.000,top
C203,-17.4500,11.0000,90.000,top
C204,-23.2000,9.2500,90.000,top
C205,-24.9500,15.2500,270.000,top
D101,11.8750,8.5000,270.000,top
D201,-12.4500,15.7500,0.000,top
D202,-7.2000,9.2500,90.000,top
D203,-19.9500,15.7500,180.000,top
D301,-5.3500,-18.2500,90.000,top
D302,-6.8500,-18.2500,90.000,top
J101,32.6250,9.3125,90.000,top
J301,30.8750,-9.2250,90.000,top
Q101,17.0500,3.6250,270.000,top
Q102,-6.8750,3.1250,90.000,top
Q301,6.8000,-20.3850,90.000,top
Q302,6.8000,-17.8850,90.000,top
Q303,-8.7500,-19.2250,270.000,top
Q401,-29.5000,-9.5000,180.000,top
Q402,-27.0000,-9.5000,0.000,top
R101,7.4375,10.0000,270.000,top
R102,8.6250,10.0000,270.000,top
R103,27.2500,11.8125,90.000,top
R104,27.5000,6.5625,270.000,top
R105,17.0500,1.8750,0.000,top
R108,-9.7500,2.8750,270.000,top
R109,-8.6250,2.8750,90.000,top
R110,10.5000,9.0000,270.000,top
R201,-7.2000,6.7500,270.000,top
R301,8.5500,-20.3850,270.000,top
R302,8.5500,-17.8850,270.000,top
R304,3.6750,-19.1350,90.000,top
R307,-5.3500,-20.7500,270.000,top
R308,-8.7500,-17.2250,0.000,top
R309,-6.8500,-20.7500,270.000,top
R310,-8.7500,-21.2250,0.000,top
R401,-29.2500,-11.2500,180.000,top
R402,-27.2500,-11.2500,0.000,top
R403,-31.2500,-9.5000,90.000,top
R404,-25.2500,-9.5000,270.000,top
R405,11.8750,20.2500,180.000,top
S101,22.5000,1.9375,180.000,top
S102,22.7500,16.6250,180.000,top
U101,6.7500,3.5000,0.000,top
U102,1.2500,11.7500,90.000,top
U201,-12.2000,9.2500,180.000,top
U202,-28.7000,11.2500,90.000,top
U203,-27.9767,3.5483,180.000,top
U301,13.1750,-19.2600,270.000,top
U302,-0.7000,-19.1350,270.000,top
Y101,6.1500,-3.7000,0.000,top
